Time,Algorithm,NID,# Interests, #Data Packets, #Reinforcements, Task1, #Executions, Task2, #Executions, Task3,#Executions,,,,,
Thu Dec 31 19:44:34 CST 2009,DIFFUSION,24,953,42,0,,,,,,,,,,,
Thu Dec 31 19:44:34 CST 2009,DIFFUSION,24,953,42,0,,,,,,,,,,,
Thu Dec 31 19:44:34 CST 2009,DIFFUSION,48,2596,34,0,,,,,,,,,,,
Thu Dec 31 19:44:34 CST 2009,DIFFUSION,48,3326,35,0,,,,,,,,,,,
Thu Dec 31 19:44:34 CST 2009,DIFFUSION,32,1235,3,0,7815.8,,,,,,,,,,
Thu Dec 31 19:44:34 CST 2009,DIFFUSION,32,1235,3,0,7830.9,,,,,,,,,,
Thu Dec 31 19:44:34 CST 2009,DIFFUSION,24,430,0,0,7891,,,,,,,,,,
Thu Dec 31 19:44:34 CST 2009,DIFFUSION,40,1368,3,0,7786.1,,,,,,,,,,
Thu Dec 31 19:44:49 CST 2009,DIRL,84,1072,91,task-Sleep,614,task-Diffuse,1385,,,,,,,,
Thu Dec 31 19:44:49 CST 2009,DIRL,84,1021,84,task-Sleep,647,task-Diffuse,1352,,,,,,,,
Thu Dec 31 19:44:49 CST 2009,DIRL,113,1464,160,task-Sleep,436,task-Diffuse,1563,,,,,,,,
Thu Dec 31 19:44:49 CST 2009,DIRL,113,1277,141,task-Sleep,459,task-Diffuse,1540,,,,,,,,
Thu Dec 31 19:44:49 CST 2009,DIRL,76,114,64,task-10-0,1160,task-Sleep,565,task-Diffuse,274,,,,,,
Thu Dec 31 19:44:49 CST 2009,DIRL,76,212,30,task-Sleep,1122,task-Diffuse,877,,,,,,,,
Thu Dec 31 19:44:49 CST 2009,DIRL,21,59,4,task-10-0,159,task-Sleep,1502,task-Diffuse,338,,,,,,
Thu Dec 31 19:44:49 CST 2009,DIRL,85,116,104,task-10-0,1474,task-Sleep,392,task-Diffuse,133,,,,,,
Fri Jan 01 10:07:00 CST 2010,DIFFUSION,24,953,42,0,7855.4,,,,,,,,,,
Fri Jan 01 10:07:00 CST 2010,DIFFUSION,24,953,42,0,7855.5,,,,,,,,,,
Fri Jan 01 10:07:00 CST 2010,DIFFUSION,48,2596,34,0,7730.6,,,,,,,,,,
Fri Jan 01 10:07:00 CST 2010,DIFFUSION,48,3326,35,0,7710.7,,,,,,,,,,
Fri Jan 01 10:07:00 CST 2010,DIFFUSION,32,1235,3,0,7815.8,,,,,,,,,,
Fri Jan 01 10:07:00 CST 2010,DIFFUSION,32,1235,3,0,7830.9,,,,,,,,,,
Fri Jan 01 10:07:00 CST 2010,DIFFUSION,24,430,0,0,7891,,,,,,,,,,
Fri Jan 01 10:07:00 CST 2010,DIFFUSION,40,1368,3,0,7786.1,,,,,,,,,,
Fri Jan 01 10:07:09 CST 2010,DIRL,3.342004792,null,,,,,,,,,,,,,
Fri Jan 01 10:07:09 CST 2010,DIRL,2.093228073,null,,,,,,,,,,,,,
Fri Jan 01 10:07:09 CST 2010,DIRL,0,9740.6,,,,,,,,,,,,,
Fri Jan 01 10:07:09 CST 2010,DIRL,0.226837466,null,,,,,,,,,,,,,
Fri Jan 01 10:07:09 CST 2010,DIRL,0.891906333,null,,,,,,,,,,,,,
Fri Jan 01 10:07:09 CST 2010,DIRL,8.945689754,null,,,,,,,,,,,,,
Fri Jan 01 10:07:09 CST 2010,DIRL,12.98947656,null,,,,,,,,,,,,,
Fri Jan 01 10:07:09 CST 2010,DIRL,0,8696.1,,,,,,,,,,,,,
Fri Jan 01 10:27:35 CST 2010,DIRL,4.279022963,null,,,,,,,,,,,,,
Fri Jan 01 10:27:35 CST 2010,DIRL,2.616198551,null,,,,,,,,,,,,,
Fri Jan 01 10:27:35 CST 2010,DIRL,0,11405.6,,,,,,,,,,,,,
Fri Jan 01 10:27:35 CST 2010,DIRL,1.567356888,null,,,,,,,,,,,,,
Fri Jan 01 10:27:35 CST 2010,DIRL,3.394000954,null,,,,,,,,,,,,,
Fri Jan 01 10:27:35 CST 2010,DIRL,3.963340109,null,,,,,,,,,,,,,
Fri Jan 01 10:27:35 CST 2010,DIRL,5.388214199,null,,,,,,,,,,,,,
Fri Jan 01 10:27:35 CST 2010,DIRL,0,11731.1,,,,,,,,,,,,,
Fri Jan 01 10:27:35 CST 2010,DIRL,1.602273684,null,,,,,,,,,,,,,
Fri Jan 01 10:27:36 CST 2010,DIRL,2.654273498,null,,,,,,,,,,,,,
Fri Jan 01 10:27:36 CST 2010,DIRL,4.444329004,null,,,,,,,,,,,,,
Fri Jan 01 10:27:36 CST 2010,DIRL,0,11321.5,,,,,,,,,,,,,
Fri Jan 01 10:27:36 CST 2010,DIRL,0.212126523,null,,,,,,,,,,,,,
Fri Jan 01 10:35:53 CST 2010,DIFFUSION,1,32,13241,69121,0,6545.4,,,,,,,,,
Fri Jan 01 10:35:53 CST 2010,DIFFUSION,2,32,13232,95768,0,6375.5,,,,,,,,,
Fri Jan 01 10:35:53 CST 2010,DIFFUSION,3,53,27325,72921,0,5485.6,,,,,,,,,
Fri Jan 01 10:35:54 CST 2010,DIFFUSION,4,53,27224,72812,0,5480.7,,,,,,,,,
Fri Jan 01 10:35:54 CST 2010,DIFFUSION,5,35,17346,68701,0,6210.8,,,,,,,,,
Fri Jan 01 10:35:54 CST 2010,DIFFUSION,6,30,15074,68700,0,6355.9,,,,,,,,,
Fri Jan 01 10:35:54 CST 2010,DIFFUSION,7,20,9091,29068,0,7101,,,,,,,,,
Fri Jan 01 10:35:54 CST 2010,DIFFUSION,8,40,19260,97765,0,6026.1,,,,,,,,,
Fri Jan 01 10:35:54 CST 2010,DIFFUSION,9,53,26923,98189,0,5511.2,,,,,,,,,
Fri Jan 01 10:35:54 CST 2010,DIFFUSION,10,32,12658,95924,0,6381.3,,,,,,,,,
Fri Jan 01 10:35:54 CST 2010,DIFFUSION,11,32,12255,74408,0,6526.4,,,,,,,,,
Fri Jan 01 10:35:54 CST 2010,DIFFUSION,12,35,17739,86233,0,6221.5,,,,,,,,,
Fri Jan 01 10:35:54 CST 2010,DIFFUSION,13,52,27218,79253,0,5491.6,,,,,,,,,
Fri Jan 01 10:43:49 CST 2010,DIRL,2.395613578,null,,,,,,,,,,,,,
Fri Jan 01 10:43:49 CST 2010,DIRL,2.976261798,null,,,,,,,,,,,,,
Fri Jan 01 10:43:49 CST 2010,DIRL,0,9995.6,,,,,,,,,,,,,
Fri Jan 01 10:43:49 CST 2010,DIRL,0,9650.7,,,,,,,,,,,,,
Fri Jan 01 10:43:49 CST 2010,DIRL,3.651711876,null,,,,,,,,,,,,,
Fri Jan 01 10:43:49 CST 2010,DIRL,5.763527974,null,,,,,,,,,,,,,
Fri Jan 01 10:43:49 CST 2010,DIRL,6.040665105,null,,,,,,,,,,,,,
Fri Jan 01 10:43:49 CST 2010,DIRL,0.473423804,null,,,,,,,,,,,,,
Fri Jan 01 10:46:25 CST 2010,DIFFUSION,1,19,5858,68380,0,7470.4,,,,,,,,,
Fri Jan 01 10:46:25 CST 2010,DIFFUSION,2,19,5857,68380,0,7450.5,,,,,,,,,
Fri Jan 01 10:46:25 CST 2010,DIFFUSION,3,34,20026,74117,0,6840.6,,,,,,,,,
Fri Jan 01 10:46:25 CST 2010,DIFFUSION,4,34,19611,78125,0,6840.7,,,,,,,,,
Fri Jan 01 10:46:25 CST 2010,DIFFUSION,5,24,12615,62394,0,7060.8,,,,,,,,,
Fri Jan 01 10:46:25 CST 2010,DIFFUSION,6,24,12500,62394,0,7100.9,,,,,,,,,
Fri Jan 01 10:46:25 CST 2010,DIFFUSION,7,18,9861,42166,0,7336,,,,,,,,,
Fri Jan 01 10:46:25 CST 2010,DIFFUSION,8,30,15607,61984,0,6931.1,,,,,,,,,
Fri Jan 01 10:58:17 CST 2010,DIRL,4.474199278,null,,,,,,,,,,,,,
Fri Jan 01 10:58:17 CST 2010,DIRL,5.991871775,null,,,,,,,,,,,,,
Fri Jan 01 10:58:17 CST 2010,DIRL,0.490839281,null,,,,,,,,,,,,,
Fri Jan 01 10:58:17 CST 2010,DIRL,1.495837374,null,,,,,,,,,,,,,
Fri Jan 01 10:58:17 CST 2010,DIRL,0,10615.8,,,,,,,,,,,,,
Fri Jan 01 10:58:17 CST 2010,DIRL,6.534281574,null,,,,,,,,,,,,,
Fri Jan 01 10:58:17 CST 2010,DIRL,13.6280363,null,,,,,,,,,,,,,
Fri Jan 01 10:58:17 CST 2010,DIRL,0,10416.1,,,,,,,,,,,,,
Fri Jan 01 10:58:17 CST 2010,DIRL,0,9961.2,,,,,,,,,,,,,
Fri Jan 01 10:58:17 CST 2010,DIRL,3.18334223,null,,,,,,,,,,,,,
Fri Jan 01 10:58:17 CST 2010,DIRL,3.483983258,null,,,,,,,,,,,,,
Fri Jan 01 10:58:17 CST 2010,DIRL,1.052898658,null,,,,,,,,,,,,,
Fri Jan 01 10:58:17 CST 2010,DIRL,0,11551.6,,,,,,,,,,,,,
Fri Jan 01 10:59:39 CST 2010,DIFFUSION,1,42,2048,96,0,7530.4,,,,,,,,,
Fri Jan 01 10:59:39 CST 2010,DIFFUSION,2,42,1906,108,0,7495.5,,,,,,,,,
Fri Jan 01 10:59:39 CST 2010,DIFFUSION,3,76,4270,54,0,7170.6,,,,,,,,,
Fri Jan 01 10:59:39 CST 2010,DIFFUSION,4,76,3714,57,0,7205.7,,,,,,,,,
Fri Jan 01 10:59:39 CST 2010,DIFFUSION,5,48,1785,14,0,7475.8,,,,,,,,,
Fri Jan 01 10:59:39 CST 2010,DIFFUSION,6,41,1640,13,0,7540.9,,,,,,,,,
Fri Jan 01 10:59:39 CST 2010,DIFFUSION,7,28,563,1,0,7731,,,,,,,,,
Fri Jan 01 10:59:39 CST 2010,DIFFUSION,8,55,1916,14,0,7411.1,,,,,,,,,
Fri Jan 01 10:59:39 CST 2010,DIFFUSION,9,76,3787,54,0,7196.2,,,,,,,,,
Fri Jan 01 10:59:39 CST 2010,DIFFUSION,10,42,1882,106,0,7501.3,,,,,,,,,
Fri Jan 01 10:59:39 CST 2010,DIFFUSION,11,42,1497,89,0,7506.4,,,,,,,,,
Fri Jan 01 10:59:39 CST 2010,DIFFUSION,12,48,1785,13,0,7471.5,,,,,,,,,
Fri Jan 01 10:59:39 CST 2010,DIFFUSION,13,75,3919,57,0,7196.6,,,,,,,,,
Fri Jan 01 11:38:54 CST 2010,DIRL,1,503,549,91,task-Sleep,2642,task-Diffuse,1357,0,19940.4,,,,,
Fri Jan 01 11:38:54 CST 2010,DIRL,2,643,771,144,task-Sleep,2576,task-Diffuse,1423,0,17795.5,,,,,
Fri Jan 01 11:38:54 CST 2010,DIRL,3,660,780,151,task-Sleep,2393,task-Diffuse,1606,0,12265.6,,,,,
Fri Jan 01 11:38:54 CST 2010,DIRL,4,604,928,193,task-Sleep,2348,task-Diffuse,1651,0,11140.7,,,,,
Fri Jan 01 11:38:54 CST 2010,DIRL,5,257,163,115,task-10-0,1114,task-Sleep,2395,task-Diffuse,490,0,14035.8,,,
Fri Jan 01 11:38:54 CST 2010,DIRL,6,328,219,42,task-Sleep,2883,task-Diffuse,1116,3.720541488,null,,,,,
Fri Jan 01 11:38:54 CST 2010,DIRL,7,34,169,20,task-10-0,327,task-Sleep,3002,task-Diffuse,670,5.978872534,null,,,
Fri Jan 01 11:38:54 CST 2010,DIRL,8,342,148,180,task-10-0,1332,task-Sleep,2310,task-Diffuse,357,0,12261.1,,,
Fri Jan 01 11:38:54 CST 2010,DIRL,9,604,919,203,task-Sleep,2310,task-Diffuse,1689,0,10206.2,,,,,
Fri Jan 01 11:38:54 CST 2010,DIRL,10,643,881,155,task-Sleep,2583,task-Diffuse,1416,0,18006.3,,,,,
