Time,ALGORITHM,No Of Nodes,NID,#Tracks,Last Track,Avg Delay,Total Energy Used, Lowest Life Node, Target Moving?,#REF!
Thu Dec 31 19:44:34 CST 2009,DIFFUSION,10,0,790,7700.451829,0.428154941,197.2323723,,,
Thu Dec 31 19:44:49 CST 2009,DIRL,10,0,1689,9496.207198,0.051124584,164.7567544,,,
Fri Jan 01 10:27:35 CST 2010,DIRL,15,0,1741,11321.7072,0.045589483,288.5544396,12:11316.5:25.0,TRUE,
Fri Jan 01 10:35:53 CST 2010,DIFFUSION,15,0,994,5502.521904,0.473901517,298.6979152,4:5475.7:25.0,TRUE,
Fri Jan 01 10:43:49 CST 2010,DIRL,10,0,1638,9561.208928,0.027255415,175.9454528,4:9645.7:25.0,TRUE,
Fri Jan 01 10:46:25 CST 2010,DIFFUSION,10,0,926,6831.126571,0.466155903,192.5319313,3:6835.6:25.0,TRUE,
Fri Jan 01 10:58:17 CST 2010,DIRL,15,0,1911,10336.70568,0.028575774,273.0668342,9:9956.2:25.0,FALSE,
Fri Jan 01 10:59:39 CST 2010,DIFFUSION,15,0,745,7162.893055,0.410093681,314.5257964,3:7165.6:25.0,FALSE,
Fri Jan 01 11:38:53 CST 2010,DIRL,20,0,1761,11076.52503,0.033317332,376.2858838,9:10201.2:25.0,FALSE,
Sat Jan 02 10:44:56 CST 2010,DIRL,20,0,1801,12171.21192,0.029522356,397.3261027,8:8741.1:24.986474447006184,FALSE,
Fri Jan 01 11:47:30 CST 2010,DIFFUSION,20,0,809,5892.06798,0.403494135,431.5199905,18:5342.1:25.0,,
Fri Jan 01 12:00:16 CST 2010,DIRL,20,0,1797,12106.20787,0.027477302,383.6701641,12:10286.5:24.995565922918395,FALSE,
Fri Jan 01 12:00:26 CST 2010,DIRL,20,0,1661,12187.20806,0.033422166,405.8081694,8:10366.1:24.996781162635706,TRUE,
Fri Jan 01 12:09:14 CST 2010,DIFFUSION,20,0,809,5892.06798,0.403494135,431.4566041,18:5342.1:24.98095106649829,,
Fri Jan 01 12:28:36 CST 2010,DIRL,25,0,1397,12257.21031,0.049589717,512.4121507,22:8962.5:24.999413077290747,TRUE,
Fri Jan 01 12:30:40 CST 2010,DIRL,25,0,1417,10661.7072,0.049947366,472.280838,22:9322.5:24.99668680746819,FALSE,
Fri Jan 01 12:49:39 CST 2010,DIFFUSION,25,0,416,5512.452967,0.585362337,540.8826858,13:4976.6:24.970811675442896,,
