0,
1,task:Diffuse,0.0842
2,task:Diffuse,0.0842
3,task:Diffuse,0.0842
4,task:Diffuse,0.0842
5,task:10-0,0.0task:Diffuse,0.0842
6,task:Diffuse,0.0842
7,task:10-0,0.0task:Diffuse,0.0842
8,task:10-0,1.3671334534908048task:Diffuse,0.0842
9,task:Diffuse,0.0842
10,task:Diffuse,0.0842
11,task:Diffuse,0.0842
12,task:10-0,0.0task:Diffuse,0.0842
13,task:Diffuse,0.0842
14,task:Diffuse,0.0842
15,task:Diffuse,0.0842
16,task:Diffuse,0.0842
17,task:Diffuse,0.0842
18,task:10-0,5.25681372940476task:Diffuse,0.0842
